,Artifact/Evidence Required,Collected (Y/N),Notes,Change Status,Knox Validated,Screenshot Instruction,
1. Backup & Disaster Recovery (ISCP Requirements),,,,,,,
RDS/Database Backups,,,,,,,
1.01,Show RDS automated backup configuration and retention periods,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Backup configuration'.",
1.02,Display recent backup snapshots with timestamps,,,,,Go to RDS service > Snapshots > View the list of snapshots with their creation timestamps.,
1.03,Demonstrate backup encryption status (should show AES-256),,,,,"Go to RDS service > Snapshots > Select a snapshot > Under 'Details' tab, find 'Encryption' status and algorithm.",
1.04,Show replication lag between primary and secondary AZ,,,,,"Go to RDS service > Databases > Select the relevant Multi-AZ DB instance > Under 'Monitoring' tab, view 'Replication Lag' metric (in CloudWatch or Grafana dashboard).",
1.05,Evidence of 24-hour snapshot frequency mentioned in DR plan,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Backup window' and 'Backup retention period'.",
1.06,Show us-west-2 backup vault contents (referenced in RPO documentation),,,,,Switch to the 'us-west-2' region in AWS console > Go to AWS Backup service > Backup vaults > Select the relevant vault > View its protected resources.,
EBS Snapshots,,,,,,,
1.07,List of EBS snapshots with creation dates,,,,,"Go to EC2 service > Elastic Block Store > Snapshots > View the list of snapshots, including their 'Creation time'.",
1.08,Encryption status of snapshots,,,,,"Go to EC2 service > Elastic Block Store > Snapshots > Select a snapshot > Under 'Details' tab, find 'Encryption' status.",
1.09,Snapshot retention policies,,,,,Go to AWS Backup service > Backup plans > Select the relevant plan > View the 'Backup rules' for EBS.,
1.10,Evidence of automated snapshot scheduling,,,,,Go to AWS Backup service > Backup plans > Select the relevant plan > View the 'Backup rules' showing scheduling frequency.,
S3 Backup Storage,,,,,,,
1.11,Show S3 bucket used for backup storage in us-west region,,,,,Switch to the 'us-west' region in AWS console > Go to S3 service > Buckets > Identify and select the backup bucket.,
1.12,Bucket encryption configuration (at-rest encryption),,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Default encryption'.,
1.13,Versioning configuration,,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Bucket Versioning'.,
1.14,Replication rules (if applicable for cross-region),,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Management' tab > Scroll down to 'Replication rules'.,
1.15,Access logs and lifecycle policies,,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Server access logging' and 'Lifecycle rules' under 'Management' tab.,
2. Multi-AZ Configuration (DR Requirements),,,,,,,
RDS Multi-AZ Setup,,,,,,,
